id_left,brand_left,title_left,description_left,price_left,priceCurrency_left,specTableContent_left,cluster_id_left,id_right,brand_right,title_right,description_right,price_right,priceCurrency_right,specTableContent_right,cluster_id_right,pair_id,label,is_hard_negative
13174650,,GARMIN FENIX 5 GRAY BLACK 010-01688-00,,499.99,EUR,,139209,96636315,,Garmin fenix 5s Sapphire Black,Fenix 5s Sapphire Black,649.99,EUR,,1406172,13174650#96636315,0,True
53464814,,"D-Link DGS-1210-28P 24-port 1Gb Smart Switch, 4x SFP, PoE",,296.6,EUR,,56526,15041298,,D-LINK DGS-1210-24P 24-port Gig PoE Switch 4x Combo,,1392.31,PLN,,964764,53464814#15041298,0,True
41253009,,"4GB ValueRAM DDR3, 1600MHz, Non-ECC, Unbuffered, CL11, 1.5V, 240-pin DIMM, Singl","4GB ValueRAM DDR3, 1600MHz, Non-ECC, Unbuffered, CL11, 1.5V, 240-pin DIMM, Singl",37.99,CAD,,735114,83592973,,Crucial 1x 8GB DDR3L 1600MHz ECC Unbuffered UDIMM RAM | Discount Computer Needs,"View and shop for Crucial 1x 8GB DDR3L 1600MHz ECC Unbuffered UDIMM RAM, Memory RAM, and many more products at Discount Computer Needs.",269.00,AUD,,1026272,41253009#83592973,0,True
42181153,,Tag Heuer Carrera Quartz Chronograph Stainless Steel Watch CBG2A1Z.BA0658,"ceramic and stainless steel case, with a black dial. Silver stainless steel Bracelet. quartz movement. sapphire crystal. 45mmx 45mmx 16mm case. 22mm band width. 100 meters water resistant. Tag Heuer Carrera Quartz Chronograph Stainless Steel Watch CBG2A1Z.BA0658 Tag Heuer's quality, style and functionality are evident in this sophisticated line of timepieces.",4.2435E3,USD,,1434374,18137846,,TAG Heuer Automatic Chronograph Watch CBG2A1Z.BA0658,TAG Heuer Automatic Chronograph Watch CBG2A1Z.BA0658,6550,USD,,1434374,42181153#18137846,1,False
47389275,,SANDISK FLASH CRUZER GLIDE 64GB,,"178,01zł",PLN,,763994,516433,Sandisk,Sandisk USB Flash 32GB Cruzer Glide 2.0/3.0,,15.90,EUR,,1805681,47389275#516433,0,True
80159309,Sram,Sram/Avid Road Disc Brake Pads - Road/Level (Organic/Steel Back),,19.99,USD,,350645,96279287,SRAM,"SRAM Sram Level Ultimate, Level TLM Disc Brake Pads",Original equipment pads for no-compromise disc brake performance.,25.00,USD,,188533,80159309#96279287,0,True
23351642,Cisco,Cisco Catalyst WS-C2960X-24PD-L 24 Ports ManagedRack Mountable Switch,,0.00,GBP,,1412234,84899710,,Cisco Catalyst 2960-Plus 48TC-L - switch - 48 ports - managed - rack-mounta,"The Cisco Catalyst 2960-Plus series switches are fixed-configuration Fast Ethernet switches that provide enterprise-class Layer 2 switching for branch offices, conventional workspaces, and infrastructure applications. They enable reliable and secure operations with lower total cost of ownership through a range of Cisco IOS software features, including Cisco Catalyst SmartOperations.",2379.99,CAD,,3739198,23351642#84899710,0,True
60571140,Gigabyte,Gigabyte GeForce GTX 1650 Super OC,"The Gigabyte GeForce GTX 1650 Super OC has 4 GB Vram. Its boost clock is set to 1740 MHz, its memory clock is at 12000 MHz.",159.99,USD,,1349881,48293393,Gigabyte,Gigabyte NVIDIA GeForce GTX 1650 4GB D6 OC Turing Graphics Card,"Gigabyte GeForce GTX 1650 D6 OC 4GB GDDR6 Graphics Card, 896 Core, 1635MHz Boost",148.99,GBP,,213319,60571140#48293393,0,True
45946412,Maxxis,"Maxxis Maxxis High Roller II Tire: 27.5 x 2.50\"", Folding, 60tpi, 3C MaxxTerra, EXO, Tubeless Ready, Wide Trail, Black",,85.00,USD,,729259,56064924,,"High Roller II Bike Tire: 29 x 2.50\"", Folding, 120tpi, 3C MaxxTerra, Double Down, Tubeless Ready, Wide Trail","An open and aggressive tread design gives the High Roller II excellent soil penetration and mud-clearing ability. A square profile provides a solid, consistent feel across the knobs. Modified knobs on the shoulder and center improve braking performance and traction on hard surfaces. An excellent choice for technical, freeride terrain.FEATURESOpen tread designImproved braking and tractionWide trail (WT) casing is optimized for 30-35mm inner width rimsColor: BlackDefined Color: BlackISO Diameter: 622 / road / 29\""Labeled Size: 29 x 2.5Tire Bead: FoldingTire Diameter: 29\""Tire Type: Tubeless Ready ClincherTPI: 120",9.1E1,USD,,1702430,45946412#56064924,0,True
24268406,,UniFi AP ac HD ROW 5Pk,,1679.00,USD,,980563,34532774,,"Ubiquiti UniFi AP, AC, In Wall, 5-Pack","UAP-AC-IW - 5 Pack, Indoor, 802.11ac, 5GHz MIMO 2x2, 867Mbps, PoE, 3x 10/100/1000",3768,HKD,,1610496,24268406#34532774,0,True
57337098,,LOGITECH Logitech USB Headset H390,LOGITECH Logitech USB Headset H390,90.90,BGN,,149318,78504458,,LOGITECH Corded USB Headset H540 - USB - EMEA,LOGITECH Corded USB Headset H540 - USB - EMEA,0.001,,,429252,57337098#78504458,0,True
48734649,Shimano,Shimano Pedal PD-RS500 SL Black,,99.99,AUD,,3789862,79232921,,Shimano PD-R550 SPD-SL Resin Pedal,"Wide spring tension adjustment rangeLarger entry target for easier engagementComposite bodyExtra-wide platform for maximum efficient transfer of powerDurable stainless steel body plate reduces flex and wearWide bearing placement for stable, uniform load distributionThe legacy of SHIMANO design, quality and performanceMODEL NO PD-R550SERIES SHIMANO TIAGRA 4700 SeriesRemarks Wider spring tension rangeWide platformRoad clearance 32Binding Single-SidedCartridge axleCategory ROADCleat included SM-SH11Cleat retention adjusterSealed mechanismWeight (g) 310 g",120.99,NZD,,1385673,48734649#79232921,0,True
58599683,SWISS MILITARY HANOWA,Swiss Military Hanowa Immersion 06-4226.30.003.03,Swiss Military Hanowa Immersion 06-4226.30.003.03,9847.0000,UAH,,2080188,96142257,Swiss Military Hanowa,Swiss Military Hanowa Swiss Military Hanowa Undercover Multifunction 06-4307.30.007,,249.00,EUR,,4246715,58599683#96142257,0,True
61786686,APC,APC By Schneider Electric APC Replacement Battery Cartridge,"Apc By Schneider Electric Apc Replacement Battery CartridgeAPC replacement battery cartridgeAPCRBC124 UPS Replacement Battery Cartridge # 124ManufacturerAmerican Power Conversion CorpManufacturer Part NumberAPCRBC124Manufacturer Website Addresshttp://www.apc.comBrand NameAPCProduct ModelAPCRBC124Product NameAPCRBC124 UPS Replacement Battery Cartridge # 124Product TypeBattery UnitBattery CharacteristicsSpill-proof/Maintenance-freeBattery ChemistrySealed Lead AcidHot SwappableYesMinimum Battery Life3 YearMaximum Battery Life5 YearHeight3.8\\""Width72.4\\""Weight (Approximate)12.35 lbCompatibilityUPS APCRBC124 UPS Replacement Battery Cartridge # 124ManufacturerAmerican Power Conversion CorpManufacturer Part NumberAPCRBC124Manufacturer Website Addresshttp://www.apc.comBrand NameAPCProduct ModelAPCRBC124Product NameAPCRBC124 UPS Replacement Battery Cartridge # 124Product TypeBattery UnitBattery CharacteristicsSpill-proof/Maintenance-freeBattery ChemistrySealed Lead AcidHot SwappableYesMinimum Battery Life3 YearMaximum Battery Life5 YearHeight3.8\""Width72.4\""Weight (Approximate)12.35 lbCompatibilityUPS APC By Schneider Electric APC Replacement Battery Cartridge",84.99,USD,,123631,8994298,,APC - Replacement battery cartridge 140,APC Replacement battery cartridge 140 (APCRBC140) - Kapacitet: 0VA - Produkt: Extra batteri,7217.50,SEK,,1144246,61786686#8994298,0,True
38546562,,Ubiquiti UniFi AP AC Pro Indoor / Outdoor Access Point 5 Pack,"TheUbiquiti UniFi AP AC Pro 5 Packfeatures the latest Wi-Fi 802.11ac, 3x3 MIMO technology in a refined industrial design and is ideal for deployment of maximum‑performance wireless networks.Ubiquiti UniFi AC Pro AP 5 Pack Key Features5 x UAP-AC-Pro models802.11ac3x3 MIMOSimultaneous dual-band2.4GHz throughput of 450Mbps5GHz throughput of 1300Mbps2 Gigabit Ethernet PortsTheUAP-AC-PROis ideally suited for both indoor and outdoor deployments with a range of 122m (400ft). The UniFi AC-Pro features instand upgrade using the same mount as the standard UAP model.TheUniFi AC-Pro 5 Packcombines enterprise performance, unlimited scalability, and a central management controller. UniFi 802.11AC Dual‑Radio Access Points (APs) have a refined",543.15,GBP,,68127,86924416,,Ubiquiti UniFi AP AC Mesh PRO 802.11ac Dual Radio Indoor/Outdoor access point - 1750Mbps 5 pack no PoE,"Ubiquiti UniFi AP AC Mesh PRO 802.11ac Dual Radio Indoor/Outdoor access point - 1750Mbps PoE injector Not included Mounting brackets included ( wall or pole )Scalable Enterprise Wi-Fi ManagementUniFi is the revolutionary Wi-Fi system that combines enterprise performance, unlimited scalability, and a central management controller. The UniFi AC Mesh APs have a refined industrial design and can be easily installed using the included mounting hardware.Powerful Omnidirectional Coverage FeaturesSave money and save time - UniFi comes bundled with a non-dedicated software controller that can be deployed on an on-site PC, Mac, or Linux machine; in a private cloud; or using a",1661.79,AUD,,4275566,38546562#86924416,0,True
87281733,,Apple AirPods with Charging Case (Latest Model) from Apple Computer,"We are proud to present the famous Apple AirPods with Charging Case (Latest Model).With so many available recently, it is good to have a make you can trust. The Apple AirPods with Charging Case (Latest Model) is certainly that and will be a perfect purchase.For this great price, the Apple AirPods with Charging Case (Latest Model) comes widely respected and is always a regular choice for most people. Apple Computer have included some nice touches and this results in great value.",129.00,USD,,1223297,44483408,Apple,Apple AirPods with Wired Charging Case (2nd Generation),Wired charging caseBreakthrough wireless designFantastic sound and voice50% more talk time and 24 hours of listeningSeamless use with your Apple devisesPowered by the H1 headphone chip,144.98,USD,,1223297,87281733#44483408,1,False
68891313,Western Digital,Western Digital WD My Passport Portable HDD 4TB Black,Western Digital WD My Passport Portable HDD 4TB Black – PC Case Gear – Australia’s Premier Online PC Store.,179,AUD,,3880206,72819377,,WD HDD 4TB My Passport Black,WD HDD 4TB My Passport Black Hard diskovi,338.40,BAM,,1939560,68891313#72819377,0,True
22992322,Hikvision,Hikvision DS-7216HUHI-K2 Turbo 1080p HD 16CH DVR - HD-TVI AHD IPC - HDMI COAX,,395.00,GBP,,1336313,71442235,,Hikvision 32 Turbo HD/CVI / AHD / CVBS Ref: DS-7332HQHI-K4,Hikvision 32 Turbo HD/CVI / AHD / CVBS Ref: DS-7332HQHI-K4,652.890815,EUR,,3034024,22992322#71442235,0,True
12772810,,D1-TAPE 24MM X 7M BLACK ON WHITE IN,S0720930 Dymo,0,EUR,,395055,18874158,Dymo,Genuine Dymo D1 Standard Label Cassette Tape 9mm x 7m - Black on White,,17.86,AUD,,4559,12772810#18874158,0,True
20737266,,AMD Ryzen 5 1500X Wraith Spire Cooler,Ryzen 5 1500X Quad Core,2597.00,ZAR,,2442999,64351459,AMD,YD150XBBAEBOX AMD Ryzen 5 1500X Quad Core 3.50GHz 16MB L3 Cache Socket AM4 Processor. New Retail Factory Sealed With Full Manufacturer Warranty.,YD150XBBAEBOX AMD Ryzen 5 1500X Quad Core 3.50GHz 16MB L3 Cache Socket AM4 Processor.PRODUCT FEATURES:General InformationBrand Name: AMDProduct Line: Ryzen 5Product Model: 1500XProduct Name: Ryzen 5 Quad-core 1500X 3.5GHz Desktop ProcessorTechnical InformationProcessor Core: 4 CoreClock Speed: 3.50 GHzOver clocking Speed: 3.70 GHzL2 Cache: 2 MBL3 Cache: 16 MB64-bit Processing: YesProcess Technology: 14 NMProcessor Socket: Socket AM4 Thermal Design Power: 65 W.,220,USD,,2442999,20737266#64351459,1,False
24224044,,SanDisk SDHC Ultra UHS-I 256GB Class 10 90MB/S,"Flash-Hukommelse, Class 10/UHS-I U1 Full HD quality, waterproof, temperature res",351.00,DKK,,1054843,47282882,SanDisk,SanDisk Ultra SDXC Memory Card 100MBs Class 10 UHS-I 256GB,The SanDisk Ultra SDXC Memory Card 100MBs Class 10 UHS-I 256GB can capture in Full HD with ultra-fast read speeds,52.59,GBP,,1054843,24224044#47282882,1,False
76569969,Cooler Master,Cooler Master MasterCase H500 Mid Tower PC Case,"Cooler Master MasterCase H500 ARGB, Grey, Mid Tower /w Tempered Glass Window, 200/120mm Fans, USB 3.2, EATX/ATX/mATX",99.98,GBP,,1473407,81628037,,OBUDOWA COOLER MASTER MASTERCASE H500M MIDI TOWER Z OKNEM BEZ PSU WENTYLATOR LED ARGB,,942.00,PLN,,356251,76569969#81628037,0,True
26049981,,Shimano R550 SPD-SL Pedals - Black,"Lightweight composite body Extra-large cleat target for easier engagement Extra-wide platform for maximum efficient transfer of power Durable stainless steel body plate reduces flex and pedal body wear Wide bearing placement for stable, uniform load distribution Weight: 310g pair",99.0,AUD,,1385673,48734649,Shimano,Shimano Pedal PD-RS500 SL Black,,99.99,AUD,,3789862,26049981#48734649,0,True
54277804,,Cooler Master MasterLiquid ML120L V2 RGB Universal Socket 120mm PWM 1800RPM RGB LED AiO Liquid CPU Cooler,MASTERLIQUID ML120L V2 RGB- New Generation Dual Chamber Pump- Enlarged Surface Area on Radiator- New SickleFlow 120 RGB- Reinforced Sealing for Anti-Leaking PreventionRGB 16.7 Million ColoursCompatible with...- Asus Aura Sync- Gigabyte RGB Fusion Ready- MSI Mystic Light Sync- ASRock Polychrome SyncIMPROVED. QUALITY. PERFORMANCE.New pump design with upgraded internal components for improved resistance to wear and tear for longer lasting performance. Specially Formulated Industrial Grade EPDM used for reinforced sealing for prevention of leakage.NEW 3RD GEN DUAL CHAMBER PUMPExperience a quieter cooling performance with an improved design on the internal impeller and housing to enhance the cooling performance and efficiency by,834.99,SEK,,91172,98600039,Cooler Master,Cooler Master MasterLiquid ML120R ARGB AIO Cooler,Cooler Master MasterLiquid ML120R ARGB AIO Cooler available to buy online from PC Case Gear – Australia’s Premier Online PC Store.,129,AUD,,104011,54277804#98600039,0,True
54978736,Znaka: Originln,Originln toner OKI 44992402 (ern),Originln spotebn materil pro tiskrny OKI,2149,CZK,,140469,84745207,Oki,OKI C831/841 Cyan Toner 10K,,219.74,GBP,,796023,54978736#84745207,0,True
27195828,Epson,"Epson Tinte T6164 Yellow, 53 ml",,61.40,EUR,,295197,28282387,,"EPSON (T1285) Multipack róka (T1281,T1282,T1283,T1284) C13T12854010",,15999,HUF,,161548,27195828#28282387,0,True
89102922,,APC UPS 1KVA Tower UPS SMT1000I,The 700W 1000VA UPS is trusted to protect critical data and equipment from power problems and,411,GBP,,2132160,14418390,,No Break APC Smart-UPS 10Kva Mono230V - SRT10KXLI,"Output Output power capacity 10.0 KWatts / 10.0 kVAMax Configurable Power (Watts) 10.0 KWatts / 10.0 kVANominal Output Voltage 230VOutput Voltage Distortion Less than 2%Output Frequency (sync to mains) 50/60Hz +/- 3 HzOther Output Voltages 220, 240Load Crest Factor 3 : 1Topology Double Conversion OnlineWaveform type Sine waveOutput Connections (6) IEC 320 C13 (Battery Backup) (4) IEC 320 C19 (Battery Backup) (1) Hard Wire 3-wire (H N + G) (Battery Backup) (3) IEC Jumpers (Battery Backup) Bypass Internal Bypass (Automatic and Manual) Input Nominal Input Voltage 230V , 400V 3PHInput frequency 40 - 70 Hz (auto sensing)Input Connections Hard Wire",23675.82,BRL,,1284659,89102922#14418390,0,True
62293619,Crucial,Memoire DDR3 So Dimm Crucial 4GB DDR3 1600 MT/S (PC3-12800),Memoire DDR3 So Dimm Crucial 4GB DDR3 1600 MT/S (PC3-12800)- CL11 SODIMM 204PIN 1.35V/1.5V,26.99,EUR,,893407,48138837,Crucial,Memoire DDR3 Crucial 4GB DDR3 1600 MT/S (PC3-12800),Memoire DDR3 Crucial 4GB DDR3 1600 MT/S (PC3-12800)- CL11 UNBUFFERED UDIMM 240PIN 1.35V,26.99,EUR,,2395112,62293619#48138837,0,True
77926243,,"ASUS AMD ATX ROG STRIX B550 F Gaming Motherboard AM4 Dual DDR4, HDMI, Dual M.2","Mpn: 90MB14S0-M0UAY0Vendor:AsusASUS AMD ATX ROG STRIX B550 F Gaming Motherboard AM4 Dual DDR4, HDMI, Dual M.2ROG Strix B550 Gaming series motherboards offer a feature-set usually found in the higher-end ROG Strix X570 Gaming series, including the latest PCIeÂ® 4.0. With robust power delivery and effective cooling, ROG Strix B550 Gaming is well-equipped to handle 3rd Gen AMD Ryzenâ„¢ CPUs. Boasting futuristic aesthetics and intuitive ROG software, ROG Strix B550-F Gaming gives you a head start on your dream build.",270.00,AUD,,516888,5030809,,ASUS ROG STRIX B550-E GAMING Presa AM4 ATX AMD B550,"ASUS ROG STRIX B550-E GAMING, AMD, Presa AM4, AMD Ryzen, DDR4-SDRAM, DIMM, 2133,2400,2666,2800,3000,3200,3466,3600,3866,4000,4133,4266,4400,4600 MHz",329.69,EUR,,135735,77926243#5030809,0,True
16529934,,APPLE - Airpods With Charging Case,APPLE Airpods With Charging Case (MV7N2ZM/A) - Type: Trådløst headset,2632.10,DKK,,767259,44483408,Apple,Apple AirPods with Wired Charging Case (2nd Generation),Wired charging caseBreakthrough wireless designFantastic sound and voice50% more talk time and 24 hours of listeningSeamless use with your Apple devisesPowered by the H1 headphone chip,144.98,USD,,1223297,16529934#44483408,0,True
7021169,Crucial,Crucial 8GB (1x8GB) DDR3 1600MHz SODIMM,Crucial 8GB (1x8GB) DDR3 1600MHz SODIMM – PC Case Gear – Australia’s Premier Online PC Store.,65,AUD,,1392047,36133874,,CRUCIAL - DDR3 8GB 1600Hz CL11 Unbuffered CT102472BD160B,,131.99,EUR,,1026272,7021169#36133874,0,True
