id_left,brand_left,title_left,description_left,price_left,priceCurrency_left,specTableContent_left,cluster_id_left,id_right,brand_right,title_right,description_right,price_right,priceCurrency_right,specTableContent_right,cluster_id_right,pair_id,label,is_hard_negative
41978210,,Canon 10-18mm IS STM Lens,"The EF-S 10-18mm f/4.5-5.6 IS STM lens combines optical excellence with cutting-edge performance, providing an ultra-wide angle of view in a compact, portable package, perfect for EOS cameras with an APS-C sensor.",399.00,CAD,,3329047,10409666,,Canon EF-M 18-150mm f/3.5-6.3 IS STM Lens - Graphite,"A versatile mirrorless zoom lens for shooting sharp images and movies in smooth, quiet focus",519.0,EUR,,3160384,41978210#10409666,0,True
15393429,,Epson - Vaschetta recupero toner - C13T619000,Vaschetta recupero toner,23.09,EUR,,484404,73624462,,Epson C1100 High Capacity Cyan,Epson C1100 High Capacity Cyan,151.42,GBP,,118390,15393429#73624462,0,True
69392189,,DISCO DURO EXT USB3.0 3.53TB WD MY BOOK NEGRO,"Western Digital My Book, Unidad de disco duro, 3.0 (3.1 Gen 1), USB Type-A, Windows 10 Education, Windows 10 Education x64, Windows 10 Enterprise, Windows 10 Enterprise x64, Wi, Mac OS X 10.10 Yosemite, Mac OS X 10.11 El Capitan, Mac OS X 10.9 Maveri",118.14,EUR,,707463,14035013,,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,156.15,GBP,,114602,69392189#14035013,0,True
70919736,,Seagate IronWolf Pro ST8000NE001hard drive - 8 TB - SATA 6Gb/s,Built to maintain performanceSupport your business,230.99,GBP,,1578824,73789823,Jabra,Jabra Evolve 20SE MS Mono Headset Head-band Black,"Easy call managementGet easy access to the most used functions, such as volume and mute. You can also answer and end calls directly from the control unit.Passive Noise CancellationSimply wear the headset to eliminate high-frequency noise, such as human voicesall thanks to the specially designed ear cushions. We call this passive noise cancellation.Get the basics rightUltimate noise cancellation microphoneState-of-the-art, noise-cancelling microphone eliminates background noise. The ear cushions are designed to reduce high-frequency sounds. You and your conversation partner wont struggle to hear each other.Plug-and-play setupThe headset works out of the box with all leading systems. Installation is as easy as",46.01,GBP,,1695227,70919736#73789823,0,False
7066688,Kingston,Kingston DataTraveler G4 16 GB USB-stick,,7.99,EUR,,1915191,5244749,,Sapca New Era Clean Trucker 2 NY Yankees Cap,,100,RON,,78575500,7066688#5244749,0,False
43618856,,Tissot Seastar 1000 T120.407.11.041.01,"Beautiful men's watch in stainless steel with sapphire crystal. The watch is with stainless steel bracelet, highlighted by the beautiful blue dial. The watch is also water resistant to 30 bar and equipped with a automatic movement.","737,00",EUR,,3457955,75599056,Elixir,"Elixir Nanoweb Coated Acoustic Guitar String Set, Phosphor Bronze, .010-.047","Looking for the feel of traditional guitar strings, but tired of ones that die out after one gig? Elixir introduces Acoustic Phosphor Bronze Guitar Strings with ultra-thin Nanoweb coating. Nanoweb gives your strings longer life, while recreating the bright tone and punch of non-coated strings. Guaranteed to be a guitarist's greatest friend.Many players prefer the rich, textured tone of phosphor bronze strings. These Elixir Strings capture the sweet spot of that unique phosphor bronze tone and extend it 3-5x longer than conventional strings.GaugesEBGDAE16002Extra Light.010-.047.010.014.023.030.039.04716027Custom Light.011-.052.011.015.022.032.042.05216052Light.012-.053.012.016.024.032.042.05316077Light-Medium.012-.056.012.016.024.035.045.05616182HD Light.013-.053.013.017.025.032.042.05316102Medium.013-.056.013.017.026.035.045.056E16102 E16182 E16077 E16052 E16027 E16002",17.99,GBP,,2603630,43618856#75599056,0,True
49744056,,DYMO D1 - Glossy tape - black on white - Roll (1.9cm x 7m) - 1 roll(s),Dymo 2000/5500 Tape 19mmx7m Black/White 45803.,13.49,GBP,,103304,4984777,,Dymo 53718 24mm x 7m Black on Yellow Tape,,19.43,GBP,,103881,49744056#4984777,0,True
78223205,Kingston,Kingston DDR4-3333 16GB HyperX Predator Lifetime (HX433C16PB3K2/16),,,,,499316,46952690,Kingston,HyperX Fury black HX432C16FB3/16,"16GB, DDR4, 3200MHz, CL16, XMP",89.00,EUR,,133673,78223205#46952690,0,True
34072942,,LaCie Rugged Thunderbolt USB-C 4TB,,,,,1073295,269919,,PG-1170 11-Speed Cassette,"SRAM's 1170 11-Speed Cassette is constructed of light, durable materials and boasts SRAM's PowerGlide tooth profiles and shift ramps for quick, positive gear changes. This excellent cassette also...",100.00,USD,,4823047,34072942#269919,0,False
45833973,Traveler's Company,Traveler's Company Traveler's Company Notebook Accessories,,6.00,USD,,5041507,62894191,Oakley,Oakley Jawbreaker Black Prizm OO9290 20 131-0,Lunettes de soleil Oakley Jawbreaker Black Prizm OO9290 20 131-0,,,,1203171,45833973#62894191,0,False
39152734,,CORSAIR CARBIDE SPEC-01 Mid-Tower Gaming Case with Red LED Fan | CC-9011050-WW,"The Essential Gaming PC Case.Carbide Series SPEC-01 is proof that great looks, smart design, and durable construction don’t need to be pricy, and that basic doesn’t need to be boring. You get aggressive styling, a huge side panel window for admiring your components, and an LED-lit front intake fan that draws cool air directly to your graphics cards.Inside, there’s room for up to five fans, and the four combination hard drive / SSD trays make storage installation and upgrades quick and easy. Cable routing cutouts help you reduce clutter, and the built-in dust filters help protect your components. Up front,",210,AED,,195552,43851871,,Case Corsair 460X con luci red,Case Dimensions440mm x 220mm x 464mmMaximum GPU Length370mmMaximum PSU Length200mmMaximum CPU Cooler Height170mmCase Expansion Slots7Case Drive Bays”(x2) 3.5in (x3) 2.5in”Case Form FactorMid-TowerCase WindowedTempered GlassCase WarrantyTwo yearsiCUE enabledNo,184.09,USD,,1320095,39152734#43851871,0,True
94367933,,Steering Stem Mount Base - RAM 342,"The RAM fork stem mount is one of the cleanest ways to mount small electronics on your motorcycle. Simply slide the assembly into the hole of the stem and tighten the machine screw to create a tight fit. This part is designed to fit into the cylindrical bore wall of fork stems and will work with stems that measure from 12 -20mm and 28mm or .5” – 1.10” at the following intervals: Metric Standard 12mm .5” 14mm .55” 16mm .63” 18mm .71” 20mm .79” 28mm 1.10” Material:Powder Coated Marine Grade Aluminum Ball Size:1\"" Rubber Ball \""B\"" Size Note:RAM recommends that",15.95,USD,,2039173,36616040,Jabra,Jabra Evolve 20 SE Mono MS USB Corded PC Headset,Jabra Evolve 20 SE Mono MS USB Headset from Headset Store. Next Day Delivery. Part Code:4993-823-309,47.99,GBP,,1695227,94367933#36616040,0,True
2244475,D-link,Switch DGS-1210-24P 24 porturi,"D-Link, Smart Switch 24 porturi 10/100/1000 Gigabit PoE, 4 SFP, Smart, Switching capacity 56Gbps, budget 85W","1,409.99 Lei;",,,964764,26844226,,WS-C2960X-24PD-L - 24 Port Switch,Cisco Catalyst 2960-X 24 Port 370W PoE LAN Base Ethernet Switch,1364.00,USD,,1412234,2244475#26844226,0,True
28403450,,EPSON - Ink Cart/XL Yellow WF-8xxx,EPSON Ink Cart/XL Yellow WF-8xxx (C13T755440) - Produkt: Blekk,901.25,NOK,,2806654,76837299,,Epson Light Black Ink Cartridge 220ml,The Epson Light Black Ink Cartridge 220ml (C13T603700) is an Ink cartridge manufactured by Epson and is 220ml.,,,,786291,28403450#76837299,0,True
5578260,,Jabra Biz 2300 USB Duo Headset,"The Jabra Biz 2300 USB Duo is a dual ear noise cancelling headset designed for Unified Communication (UC) and Skype for Business (SFB) environments.Audio features include a Noise Cancelling Microphone to reduce background noise, wideband audio technology and DSP technology for better clarity.The Jabra Biz 2300 series is built to last, with a reinforced Kevlar cord and unbreakable boom arm the 2300 series can withstand any punishment a high performing contact centre can give.",108.00,EUR,,666306,27263164,SHIMANO,SHIMANO PD-R550 SPD-SL PEDAL BLK,Shimano Tiagra Pedal,110.00,AUD,,1385673,5578260#27263164,0,False
6988926,ASUS,"ASUS Placa video DUAL RTX2060 OC EVO, 6GB GDDR6 192bit","Placa video Asus DUAL RTX2060 OC EVO 6GB GDDR6, DUAL-RTX2060-O6G-EVO, NVIDIA GeForce RTX 2060, Interface PCI Express 3.0, GDDR6 6GB, Memory Clock 14000 MHz, Memory Interface 192-bit, OC Mode - GPU Boost Clock : 1785 MHz , GPU Base Clock : 1395 MHz, Gaming Mode (Default) - GPU Boost Clock : 1755 MHz , GPU Base Clock : 1365 MHz, DVI Output : Yes x 1 (Native) (DVI-D), HDMI Output : Yes x 2 (Native) (HDMI 2.0b), Display Port : Yes x 1 (Native) (DisplayPort 1.4), HDCP Support : Yes (2.2)",1843.81,RON,,697270,23158552,,Asus Nvidia RTX 2060 SUPER Turbo EVO OC 8Gb GDDR6,ASUS Turbo GeForce® RTX 2060 SUPER™ EVO 8GB GDDR6 with a blower-style design for AAA gaming performance and ray tracing,439,EUR,,320546,6988926#23158552,0,True
49744056,,DYMO D1 - Glossy tape - black on white - Roll (1.9cm x 7m) - 1 roll(s),Dymo 2000/5500 Tape 19mmx7m Black/White 45803.,13.49,GBP,,103304,43742288,,D-link DGS-1210-24P best price,24-Port Gigabit PoE Smart Switch with 4 SFP ports Price: 261.18. Best price from OmniChannel. Convenient payment by bank transfer or delivery,2.6118E2,eur,,964764,49744056#43742288,0,False
83958613,,Kingston Gaming Memory 16 Gb 3200 Mhz Ddr4 Nonecc Dimm Cl16 Limited Lifetime Warranty,KINGSTON GAMING MEMORY 16GB 3200MHZ DDR4 NONECC DIMM CL16 LIMITED LIFETIME WARRANTY,2.229E3,ZAR,,133673,24449788,KINGSTON,Memoria Notebook Ddr4 4gb 2400mhz Kingston,,230.8,BRL,,352020,83958613#24449788,0,False
43759195,,Audio Technica ATHM50X Professional Monitor Headphones,"The M-Series ATH-M40x professional monitor headphones are tuned flat for incredibly accurate audio monitoring across an extended frequency range. Your studio experience is enhanced with superior sound isolation and swiveling earcups for convenient one-ear monitoring. Engineered with pro-grade materials and robust construction, the M40x excels in professional studio tracking and mixing, as well as DJ monitoring.Critically acclaimed M-Series professional monitor headphones deliver accurate audio and outstanding comfort, perfect for long sessions in the studio and on the go. Contoured earcups seal tight for excellent sound isolation, with minimal bleed. And the pro-grade materials are durable, yet comfortable. Find out why",149.95,USD,,1889634,9646081,Manfrotto,Manfrotto MVH 500 AH Video hoved,Manfrotto Videohoved MVH500AH Flatbase,1095,DKK,,72631,43759195#9646081,0,True
61883869,,ADAPTADOR WIRELESS USB DB ARCHER T2U AC600 TP-LINK,,154.56,BRL,,373003,69151064,,TP-Link TL-WN781ND PCI Express Wireless Adapter,TP-Link TL-WN781ND PCI Express Wireless AdapterTP-Link TL-WN781ND PCI Express Wireless Adapter Wireless-N provides fast wireless speeds of up to 150 Mbps PCI express connector is widely compatible QSS function to ensure wireless network security 150Mbps Wireless N PCI Express Adapter - TL-WN781ND,2200.00,KES,,466493,61883869#69151064,0,True
65657820,,D-Link DGS-1210-24,"The DGS-1210-24 is part of D-Link’s 3rd generation of Web Smart Switches that integrates advanced management and security functions for performance and scalability.Featuring an innovative fanless design that ensures quiet operation and a longer life span, the DGS-1210-24 provides a complete and affordable solution for small and medium businesses (SMB).Seamless IntegrationThe DGS-1210-24 includes 24 10/100/1000 Mbps ports capable of connecting to existing Cat.5 twisted-pair cables.Additionally, the last four ports of the DGS-1210-24 combine SFP and copper connectivity into one port and therefore provide a flexible solution for server connections via fiber interface. Using the default presets, the administrator can quickly",126.15,GBP,,793378,2244475,D-link,Switch DGS-1210-24P 24 porturi,"D-Link, Smart Switch 24 porturi 10/100/1000 Gigabit PoE, 4 SFP, Smart, Switching capacity 56Gbps, budget 85W","1,409.99 Lei;",,,964764,65657820#2244475,0,True
76444213,EPSON,Epson Cartouche d encre magenta PP-100 (PJIC4) (C13S020450),"Ink Cartridge, Magenta",,,,2284784,41493099,EPSON,Cartouche d'encre Epson Epson cartouche wf-8xxx - noir xl,Cartouche d'encre Epson Epson cartouche wf-8xxx - noir xl,79.79,EUR,,3543965,76444213#41493099,0,True
53380330,,Garmin Fenix 5S Plus GPS Multisport Watch with HR - Black,,479,GBP,,23040,25758185,OMEGA,Omega Seamaster Planet Ocean Chrono for Men,Omega Seamaster Planet Ocean Chrono for Men - this product is manufactured by OMEGA in Switzerland (and maybe in other countries),,,,5409130,53380330#25758185,0,True
61883869,,ADAPTADOR WIRELESS USB DB ARCHER T2U AC600 TP-LINK,,154.56,BRL,,373003,14721278,,Cle Usb Wifi Tp-Link N300 Tl-Wn821n,Cle Usb Wifi Tp-Link N300 Tl-Wn821n,د.ج.‏1٬750,DZD,,1164344,61883869#14721278,0,True
25138178,,Kingston Canvas 128GB Micro SDXC C10 U1 V10 A1,,39.95,USD,,27477,78600248,,PENDRIVE 128GB USB3.0 TIPO C KINGSTON DT MICRO DUO,PENDRIVE 128GB USB3.0 TIPO C KINGSTON DT MICRO DUO Lectura 100Mbs / Escritura 15Mbs / USB(A)-USB(C) DTDUO3C/128GB,30.18,EUR,,1085000,25138178#78600248,0,True
92324489,,Garmin Fenix 5 Multisport GPS Watch,"Compact GPS Wrist Watch Designed for Adventure!Garmin's Fenix 5 MultiSport GPS Watch is a top choice whether on the trail, on a run or even just heading into the office. A bright High Resolution Color Chroma display shows all your information at a quick glance. Aside from its sleek and stylish looks, the fenix 5 includes Elevate Wrist based heart rate, smart notifications, GPS and GLONASS Receivers and even a 3-Axis compass and barometric Altimeter.Available in 3 colors, the Fenix 5 comes in Slate Gray with a Black Band, Slate Gray with a Yellow Band or Silver with Granite Blue",299.95,USD,,139209,85137108,,GARMIN Fenix 5x Plus Outdooruhr Sportarmbandsur,"RISES UP TO EVERY CHALLENGE Diverse multi-sports features and everyday features are what makes the fenix 5 Plus watches by Garmin the perfect tool for ambitious endurance athletes, highly motivated fitness enthusiasts or style-conscious managers. New functions like integrated music, Garmin Pay? and a pre-installed map of Europe ensure this functional watch leaves nothing to be desired. Thanks to Trendline Popularity Routing, you'll be navigated along the best route to your destination, enjoy your favourite songs directly on your watch (connected to wireless headphones via Bluetooth), and enjoy contactless thanks to the integrated NFC chip. This model is also great",7834.00,SEK,,1138411,92324489#85137108,0,True
8387371,,Toner Cyan 4000 pages - C13S050189,,218.99,EUR,,118390,59905224,,106R01162 Toner yellow pentru Phaser 7760,"yellow, 25000p for Phaser 7760",329.33,EUR,,219682,8387371#59905224,0,True
77697394,,RAM® Double Socket Arm C Ball B Length,"C Size 1.5"" Rubber BallCapacity: up to 1.8 kgPowder Coated Marine Grade Aluminum",28,EUR,,93315,11113121,,RAM® Double Socket Arm C Size,"C Size 1.5"" Rubber BallCapacity: up to 1.8 kgPowder Coated Marine Grade Aluminum",43,EUR,,1764013,77697394#11113121,0,True
14035013,,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,LaCie 2TB Rugged Thunderbolt USB-C + USB 3.0,156.15,GBP,,114602,37471512,LaCie,"LaCie 2TB USB 3.1 Type-C Mobile Drive, Moon Silver",,409.0,AED,,137764,14035013#37471512,0,True
54709322,,Logitech USB Headset H540 - USB - EMEA 981-000480,,53.29,EUR,,429252,78504460,,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,0.001,,,1252906,54709322#78504460,0,True
3280352,,RAM-B-224-1U - RAM 3.25Diameter Suction Cup Twist Lock Base with 1Ball,RAM-B-224-1U - RAM 3.25Diameter Suction Cup Twist Lock Base with 1Ball,32.95,AUD,,3553607,46101444,,Ram Mount 2.75 Suction Cup Base with 1 Ball,"Ram Mount 2.75 Suction Cup Base with 1 Ball2.75"" diameter suction cup base with 1"" ball. Perfect for lightweight mobile electronics such as mobile phones, sat navs and GPS systems. Compatible with any of the RAM 1"" mounts and double socket arms.Details:High Strength CompositeBlack1"" Rubber Ball ""B"" Size",1.899E1,GBP,,5568458,3280352#46101444,0,True
24503885,Shimano,Shimano Deore XT Shadow+ RD-M786 3x10 Long MTB Rear Derailleur Black,Features• 10-speed Dyna-Sys system design for consistent shift effort through all positions • Advanced Light Action provides smooth and effortless shifting for long term riding • Shadow+ stabilizer adjusts the spring resistance against the chain for normal riding and rough riding conditions • Low profile shorter cage reduces chain bounce and improves ground clearance • Direct mount option depending on the frame design • SGS (long cage) • Max rear sprocket: 36T • Max front difference: 18T • Total capacity: 43T • Weight: 239g,192.99,AUD,,2738637,63899223,,RDR7000 REAR DERAILLEUR 105 11SPEED MEDIUM CAGE,"SHIMANO 105 - Rear Derailleur - Medium Cage - SHIMANO SHADOW RD - 11-speedWith stable shifting performance guaranteed by the SHIMANO SHADOW RD design, the R7000 rear derailleur is compatible with 11-speed road drivetrains and is offered in silver and black.Stable shifting performanceSHIMANO SHADOW RDWide compatibilityRD-GS covers: 11-28T to 11-34TDirect mount compatible",1.4E2,NZD,,1323492,24503885#63899223,0,True
36658258,SAMSUNG ELECTRONICS GMBH,M.2 1TB Samsung 970 EVO NVMe PCIe 3.0 x 4 retail,read/write: 3400/2500MLC,,,,106914,8680758,,Samsung MZ-V7S250 M.2 250 GB PCI Express 3.0 V-NAND MLC NVMe,"250GB, M.2, PCIe Gen 3.0 x 4, NVMe 1.3",107.78,EUR,,993500,36658258#8680758,0,True
75154223,,Western Digital Blue SSD 2TB M.2 2280 SATA III 6GB/s 3D Nand Flash,"WD Blue 3D NAND Internal SSD M.2 SATA - 2 TBUses 3D NAND technology not only for higher capacities (up to 2TB) than the previous generation WD Blue SSDs, but also to help reduce cell-to-cell interference for enhanced reliability.Offering improved endurance, a WD Blue 3D NAND SATA SSD features an active power draw up to 25% lower2 than previous generations of WD Blue SSDsFor high-end computing applications like gaming, HD media playback, or creative softwareAn SSD is designed with no moving parts to help protect against data loss if it is accidentally bumped or droppedMonitor your drive’s available capacity, operating",217.35,EUR,,761924,81101391,KINGSTON,Kingston HyperX Predator 32GB Black Heatsink (2 x 16GB) DDR4 3000MHz DIMM System Memory,"HyperX Predator 32GB(2x16GB) 3000MHz DDR4 CL15 DIMM Memory Kit Prey on the competitionHyperX Predator DDR4 memory has a fierce new heat spreader design in blackaluminium for greater heat dissipation to optimise reliability. The heat spreaderand PCB complement the look and design of the latest PC hardware, so you candominate in HyperX style.Memory Capacity32GB (2 x 16GB)Memory TypeDDR4Module TypeDIMMMemory SpeedDDR4-3000MHzPin Configuration288-pinRegistered/UnbufferedUnbufferedError CorrectionNon-ECCCL-tRCD-tRP-tRASCL15Heat SinkYes (Aluminium Black)Working Voltage1.2 V",153.672,GBP,,1249448,75154223#81101391,0,False
74074705,,LOGITECH BLACK H151 STEREO HEADSET (981-000587)-WRTY 1YR W/BANLEONG,Warranty : 1 Year with Local Distributor - Ban Leong,25.00,SGD,,24792,18787691,,Corsair Carbide 175R Mid Tower Gaming Case - Black USB 3.0,Order from CCL - The CORSAIR Carbide Series 175R RGB TG Mid-Tower ATX case with 1x RGB cooling fan and clean line design,5.817E1,GBP,,643961,74074705#18787691,0,True
16543090,,Samsung MLT-D103L Black Toner Cartridge (Compatible),"Our Samsung MLTD103L Black Toner compatible cartridges have been manufactured to the highest standards. Compared to buying Original Branded ink, our Samsung laserjet compatible cartridges are the best deal on the Irish market today! Buy it now to ensure the best value for money available online! Colour: BlackIncluded: Black x 1 Page Yield:2,500 Warranty: 3 years Shipping: Free",36.38,EUR,,1467531,74190911,Canon,Canon 707C Toner Cartridge - Cyan,Canon 707C Toner Cartridge - Cyan - Laser - 2000 Page,78.88,GBP,,1813263,16543090#74190911,0,True
12333156,SanDisk,SanDisk SSD PLUS Solid State Drive 480GB,"Step up to SSD speeds and inject new life into your laptop or desktop PC with the new Solid State Drive PLUS (SSD) - 480GB from SanDisk, 20x faster than your hard drive",73.49,GBP,,1037877,30120490,,Pendrive Sandisk PEN Drive SDCZ60-032G-B35,Cruzer Glide 32GB,5.95,EUR,,1805681,12333156#30120490,0,True
28125665,,Garmin fenix 5X Sapphire Slate Gray / Black Band,,2239,PLN,,139209,85137108,,GARMIN Fenix 5x Plus Outdooruhr Sportarmbandsur,"RISES UP TO EVERY CHALLENGE Diverse multi-sports features and everyday features are what makes the fenix 5 Plus watches by Garmin the perfect tool for ambitious endurance athletes, highly motivated fitness enthusiasts or style-conscious managers. New functions like integrated music, Garmin Pay? and a pre-installed map of Europe ensure this functional watch leaves nothing to be desired. Thanks to Trendline Popularity Routing, you'll be navigated along the best route to your destination, enjoy your favourite songs directly on your watch (connected to wireless headphones via Bluetooth), and enjoy contactless thanks to the integrated NFC chip. This model is also great",7834.00,SEK,,1138411,28125665#85137108,0,True
72004049,,Samsung Portable SSD T7 MU-PC2T0Hsolid state drive - 2 TB - USB 3.2 Gen 2,"External storage, evolvedTransfer in a flashSecure with a touch",330.35,GBP,,1252792,96980573,,WD My Passport WDBPKJ0040BBK - hard drive - 4 TB - USB 3.2 Gen 1,"Every journey needs a passport.The My Passport drive is trusted, portable storage that gives you the confidence and freedom to drive forward inlife. With a new, stylish design that fits in the palm of your hand, there's space to store, organize, and share yourphotos, videos, music, and documents. Perfectly paired with WD Backup software and password protection, the MyPassport drive helps keep your digital life's contents safe.",119.69,USD,,1939560,72004049#96980573,0,True
